Faculty,Code,Title,Description,Components,Prerequisites
ELG,5379,Numerical Methods in Electromagnetic Engineering ,"Review of electromagnetic and potential theory. Formulation of static and electrodynamic problems. Introduction to numerical and field-theoretical modelling techniques. Numerical methods considered: FD, MoL, SDA, TLM and BPM. Examples of commonly encountered electromagnetic problems at microwave, millimeterwave and optical frequencies. This course is equivalent to EACJ 5402 at Carleton University.",Lecture,
ELG,5381,Photonics Networks ,"Optical communication networks. Network layers. Optical signal formats. Clients to the optical layer (SONET, Optical Transport Network, IP). Optical fiber. Transmitter and receiver components. Multilevel modulation of optical signals. Coherent detection. Optical bypass technology. Routing. Wavelength assignment. Grooming. Optical protection schemes. Dynamic networking. Flexible optical networks. Gridless network architecture. This course is equivalent to EACJ 5004 at Carleton University.",Lecture,
ELG,5383,Survivable Optical Networks ,"Optical networks design with emphasis on network survivability. Wavelength division multiplexing (WDM), wavelength conversion, optical switch architectures, routing and wavelength assignment algorithms, IP over WDM, optical network protocols, optical network control architectures, protection and restoration, spare capacity allocation, survivable routing, design and performance evaluation.",Lecture,
ELG,5385,Matrix Methods and Algorithms for Signal Processing ,"Representation and approximation in vector spaces, matrix factorization, pseudoinverses,  application of eigen decomposition methods, Singular Values Decomposition, least squares problems, applications of special matrices, iterative algorithms, expectation maximization algorithm. This course is equivalent to EACJ 5385 at Carleton University.",Lecture,
ELG,5386,Neural Networks and Fuzzy Systems ,"Neuro-fuzzy and soft computing. Fuzzy set theory: rules, reasoning and inference systems. Regression and optimization; derivative-based optimization - genetic algorithms, simulated annealing, downhill simplex search. Neural Networks: adaptive networks; bidirectional associative memories; supervised and unsupervised learning; learning from enforcement. Applications: neuro-fuzzy modelling and control, pattern recognition. CoursesELG 5386,MCG 5356(MECH 5506) cannot be combined for units. This course is equivalent to EACJ 5386 at Carleton University.",Lecture,Exclusion:MCG 5356(MECH5506).
ELG,5901,Projet en génie électrique / Electrical Engineering Project (6 crédits / 6 units),Projet en génie électrique. Nécessite un rapport écrit approfondi et une présentation orale. Classé S (satisfaisant) ou NS (non satisfaisant). / Project in electrical engineering. Requires an in-depth written report and an oral presentation. Graded S (Satisfactory) or NS (Not satisfactory).,Volet / Course Component:Recherche / Research,"Préalable :ELG 5301. Les coursDTI 5902,ELG 5901,ELG 5902etGNG 5902ne peuvent être combinés pour l’obtention  de crédits. / Prerequisite:ELG 5301. The coursesDTI 5902,ELG 5901,ELG 5902, andGNG 5902cannot be combined for units."
ELG,5902,Projet en entreprise / Industry Project (6 crédits / 6 units),"Les étudiants participent à des lectures hebdomadaires sur des sujets tels que le travail en équipe, la gestion de projet et le processus de conception. Travaillant en équipe, ils entreprennent un projet basé sur un client et reçoivent les conseils d'un conseiller technique. / Students participate in weekly lectures covering topics such as teamwork, project management, and the design process. Working in teams, they undertake a client-based project and receiving guidance from a technical advisor.",Volet / Course Component:Recherche / Research,"Préalable :ELG 5301. Les coursDTI 5902,ELG 5901,ELG 5902etGNG 5902ne peuvent être combinés pour l'obtention de crédits. / Prerequisite:ELG 5301. The coursesDTI 5902,ELG 5901,ELG 5902, andGNG 5902cannot be combined for units."
ELG,6101,Simulation and Modelling ,"Simulation as a problem solving tool. Random variable generation, general discrete simulation procedure: event table and statistical gathering. Analyses of simulation data: point and interval estimation. Confidence intervals. Overview of modelling, simulation and problem solving using simscript, modism and other languages. This course is equivalent to SYSC 5001 at Carleton University.",Lecture,
ELG,6102,Pattern Classification and Experiment Design ,Introduction to a variety of supervised and unsupervised pattern classification techniques with emphasis on correct application. Statistically rigorous experimental design and reporting of performance results. Case studies will be drawn from various fields including biomedical informatics. This course is equivalent to SYSC 5405 and BIOM 5405 at Carleton University.,Lecture,
ELG,6104,Optimization for Engineering Applications ,"Introduction to algorithms and computer methods for optimizing complex engineering systems. Includes linear programming, networks, nonlinear programming, integer and mixed-integer programming, genetic algorithms and search methods, and dynamic programming. Emphasizes practical algorithms and computer methods for engineering applications. This course is equivalent to SYSC 5004 at Carleton University.",Lecture,
ELG,6108,Introduction to Convex Optimization ,"Mathematics of optimization: linear, nonlinear and convex problems. Convex and affine sets.  Convex, quasiconvex and log-convex functions. Operations preserving convexity.  Recognizing and formulating convex optimization problems. The Lagrange function, optimality conditions, duality, geometric and saddle-point interpretations.  Least-norm, regularized and robust approximations.  Statistical estimation, detector design.  Adaptive antennas.  Geometric problems (networks).  Algorithms.",Lecture,
ELG,6110,Information Theory ,"Measure of information: entropy, relative entropy, mutual information, asymptotic equipartition property, entropy rates for stochastic processes; Data compression: Huffman code, arithmetic coding; Channel capacity: random coding bound, reliability function, Blahut-Arimoto algorithm, Gaussian channels, coloured Gaussian noise and ""water-filling""; Rate distortion theory; Network information theory. This course is equivalent to SYSC 5506 at Carleton University.",Lecture,
ELG,6111,Design of High Performance Software ,"Designing software to demanding performance specifications. Design analysis using models of computation, workload, and performance. Principles to govern design improvement for sequential, concurrent and parallel execution, based on resource architecteure and quantitative analysis. This course is equivalent to SYSC 5101 at Carleton University.",Lecture,
ELG,6113,Software Agents ,"Agent-based programming; elements of Distributed Artificial Intelligence; beliefs, desires and intentions; component-based technology; languages for agent implementations; interface agents; information sharing and coordination; KIF; collaboration; communication; ontologies; KQML; autonomy; adaptability; security issues; mobility; standards; agent design issues and frameworks, applications in telecommunications. This course is equivalent to SYSC 5103 at Carleton University.",Lecture,
ELG,6114,Methodologies for Discrete-Event Modeling and Simulation ,"Methodological aspects of simulation. Modelling discrete events systems. Modelling formalisms: FSA, FSM, Petri Nets, DEVS, others. Verification and validation. Cellular models: cellular automata, cell-DEVS. Continuous and hybrid models. Parallel and distributed simulation (PADS) techniques. PADS middleware: HLA, parallel-DEVS, Time-warp. This course is equivalent to SYSC 5104 at Carleton University.",Lecture,
ELG,6115,Software Quality Engineering and Management ,"All aspects of software quality engineering. Software testing, at all stages of the software development and maintenance life cycle. Software reviews and inspections. Use of software measurement and quantitative modelling for the purpose of software quality control and improvement. CoursesELG 6115,CSI 5111(COMP 5501) cannot be combined for units. This course is equivalent to SYSC 5105 at Carleton University.",Lecture,
ELG,6118,Topics in Information Systems ,Recent and advanced topics in the field of Information Systems and its related areas. This course is equivalent to SYSC 5108 at Carleton University.,Lecture,
ELG,6120,Algebraic Coding Theory ,"Review of Algebra, Finite Fields, Linear Block Codes and their Properties, Hamming Codes, Cyclic codes; Hadamard Matrices and Hadamard Codes, Golay Codes, Reed-Muller Codes, BCH and Reed-Solomon Codes, Decoding Algorithms, Coding Bounds. This course is equivalent to SYSC 5200 at Carleton University.",Lecture,
ELG,6121,Computer Communication ,"Computer network types, introductory queueing theory and performance analysis. OSI layering and BISDN layering modifications. Data link layer. Local area networks and random access (CSMA - CD, switched ethernet, token ring, wireless LAN). Public Networks. IP networks, addressing, routing. Transport layer, flow control. Introduction to ISDN. CoursesELG 6121,ELG 5374(EACJ 5607) or ELG 4181 (SYSC 4602) cannot be combined for units. This course is equivalent to SYSC 5201 at Carleton University.",Lecture,
ELG,6127,Distributed Systems Engineering ,"Techniques for representing distributed systems: graphical and textual models. Processes, threads, synchronization and inter-process communication techniques, RPC. Middleware: client-server (CORBA), grids, Web services. Resource management: processor allocation, load sharing, Grid scheduling, real-time issues. Protocol: OSI model, application and presentation layers. This course is equivalent to SYSC 5207 at Carleton University.",Lecture,
ELG,6131,Advanced Topics in Biomedical Engineering ,Topics vary from year to year. This course is equivalent to SYSC 5301 at Carleton University.,Lecture,
ELG,6136,Mobile Computing Systems ,"Systems to build mobile applications. Covers data link layer to application layer. Emphasis on existing wireless infrastructure and IETF protocols. Focuses on view of mobile application developer; communication systems, middleware and application frameworks, de facto standards proposed/developed by industry consortia. This course is equivalent to SYSC 5306 at Carleton University.",Lecture,
ELG,6141,Adaptive and Learning Systems ,"System identification. Least squares and recursive identification techniques. Asymptotic and theoretical properties. Model structure selection. Prediction and estimation. Model reference adaptive control and self tuning regulators. Nonlinear adaptive systems. Stability. Neural networks and neuro-control. Applications to robotics, control and pattern recognition. This course is equivalent to SYSC 5401 at Carleton University.",Lecture,
ELG,6143,Network Access Techniques ,"A range of access technologies with emphasis on broadband access. Physical channels and the state-of-the-art of coding, modulation, multiplexing strategies to overcome physical impairments, including high-speed transmission over twisted pair, wireless, fibre and co-axial media.This course is equivalent to SYSC 5403 at Carleton University.",Lecture,
ELG,6152,Advanced Linear Systems ,"Modelling and state space realization. Review of signals and systems. Solution to the matrix DE. Discrete time systems and the Z transform. Canonical representations and transformations. Controllability, observability and controller and observer design. LQR design and the Kalman filter. Numerous examples and applications. This course is equivalent to SYSC 5502 at Carleton University.",Lecture,
ELG,6153,Stochastic Processes ,"Basic concepts of randomness, as applied to communications, signal processing, and queueing systems; probability theory, random variables, stochastic processes; random signals in linear systems; introduction to decision and estimation; Markov chains and elements of queueing theory. CoursesELG 6153,ELG 5119(EACJ 5109) cannot be combined for units. This course is equivalent to SYSC 5503 at Carleton University.",Lecture,Exclusion:ELG 5119.
ELG,6154,Principles of Digital Communication ,"Elements of communication theory and information theory applied to digital communications systems. Characterization of noise and channel models. Optimum Receiver Theory. Modulation and coding for reliable transmission: MPSK, MQAM, M-ary orthogonal modulation. Channel coding, trellis coded modulation. Spread spectrum and CDMA communications. CoursesELG 6154,ELG 5375cannot be combined for units. This course is equivalent to SYSC 5504 at Carleton University.",Lecture,
ELG,6160,Adaptive Signal Processing ,"Theory and techniques of adaptive filtering, including Wiener filters, gradient and LMS methods; adaptive transversal and lattice filters; recursive and fast recursive least squares; convergence and tracking performance; implementation. Applications, such as adaptive prediction; channel equalization; echo cancellation; source coding; antenna beamforming, spectral estimation. This course is equivalent to SYSC 5600 at Carleton University.",Lecture,
ELG,6162,Digital Signal Processing ,"Review of discrete time signals and systems, A/D and D/A conversions, representation in time, frequency, and Z domain, DFT/FFT transforms, FIR/IIR filter design, quantization effects. Correlation functions. Cepstrum analysis. Multi-rate signal processing. Power spectrum estimation. Introduction to joint time-frequency analysis. DSP architecture: implementation approaches. Applications. This course is equivalent to SYSC 5602 at Carleton University.",Lecture,
ELG,6165,Advanced Digital Communication ,"Techniques and performance of digital signalling and equalization over linear bandlimited channels with additive Gaussian noise. Fading multipath channels: diversity concepts, modelling and error probability performance evaluation. Synchronization in digital communications. Spread spectrum in digital transmission over multipath fading channels. This course is equivalent to SYSC 5605 at Carleton University.",Lecture,CoursesELG 6165(SYSC 5605 at Carleton) andELG 5180(EACJ 5704 at Carleton) cannot be combined for units.
ELG,6166,Introduction to Mobile Communications ,"Mobile radio channel characterization: signal strength prediction techniques and statistical coverage; fading; delay spread; interference models and outage probabilities. Digital modulation and transmission system performance. Signal processing techniques: diversity and beamforming, adaptive equalization, coding. Applications to TDMA and CDMA cellular systems. This course is equivalent to SYSC 5606 at Carleton University.",Lecture,
ELG,6167,Source Coding and Data Compression ,"Discrete and continuous sources. Discrete sources: Huffman coding and run length encoding. Continuous sources: waveform construction coding; PCM, DPCM, delta modulation; speech compression by parameter extraction; predictive encoding; image coding by transformation and block quantization. Fourier and Walsh transform coding. Applications to speech, television, facsimile. This course is equivalent to SYSC 5607 at Carleton University.",Lecture,
ELG,6168,Wireless Communication Systems Engineering ,"Fundamentals of antenna systems and radio propagation, wireless channel characterization, link budget, spectrum, cellular and personal wireless communication systems, channel reuse, system capacity, mobility and location management, channel resource allocation, radio access network (RAN), multiple access principles, security and authentication, satellite networks, wireless LANs. This course is equivalent to SYSC 5608 at Carleton University.",Lecture,
ELG,6171,Operating System Methods for Real-Time Applications ,"Principles and methods for operating system design with application to real-time, embedded systems. Concurrent programming: mechanisms and languages; design approaches and issues; run-time support (kernel). Methods for hard real-time applications. Methods for distributed systems; Programming assignments in a suitable programming language. This course is equivalent to SYSC 5701 at Carleton University.",Lecture,
ELG,6173,Integrated Database and Cloud Systems ,"Database definitions, applications, and architectures. Conceptual design based on the entity-relationship and object-oriented models. Relational data model: relational algebra and calculus, normal forms, data definition and manipulation languages. Database management systems: transaction management, recovery and concurrency control. Current trends: object-oriented, knowledge-based, multimedia and distributed databases. This course is equivalent to SYSC 5703 at Carleton University.",Lecture,
ELG,6174,Elements of Computer Systems ,"Concepts in basic computer architecture, assembly languages, high level languages including object orientation, compilers and operating system concepts (including concurrency mechanisms such as processes and threads and computer communication). Designed for graduate students without extensive undergraduate preparation in computer system engineering (or the equivalent experience). This course is equivalent to SYSC 5704 at Carleton University.",Lecture,
ELG,6178,Model-Driven Development of Real-Time and Distributed Software ,"Advanced object-oriented design and programming of real-time and distributed systems using C++ and/or Java. Object-oriented features; inheritance, polymorphism, templates, exception handling. Concurrency issues. Design patterns and frameworks for distributed systems, with examples from communication applications. Design issues for reusable software. This course is equivalent to SYSC 5708 at Carleton University.",Lecture,
ELG,6179,Advanced Topics in Software Engineering ,Recent and advanced topics in the field of software engineering and related areas. Primary references are recent publications in the field. This course is equivalent to SYSC 5709 at Carleton University.,Lecture,
ELG,6181,Advanced Topics in Computer Communications ,Recent and advanced topics in computer-communication networks intended as a preparation for research. Students are expected to contribute to seminars or present lectures on selected topics. This course is equivalent to SYSC 5801 at Carleton University.,Lecture,
ELG,6184,Advanced Topics in Communication Systems ,Recent and advanced topics in communications systems. This course is equivalent to SYSC 5804 at Carleton University.,Lecture,
ELG,6187,Advanced Topics in Computer Systems ,"Recent and advanced topics in computer systems. The course will generally focus on one or more of the following areas: specification, design, implementation, and modeling/analysis. Students may be expected to contribute to lectures or seminars on selected topics. This course is equivalent to SYSC 5807 at Carleton University.",Lecture,
ELG,6189,Designing Secure Networking and Computer Systems ,"Network security with coverage of computer security in support of networking concepts. Covers various security issues in data networks at different protocol layers. Routing security, worm attacks, and botnets. Security of new mobile networks and emerging networked paradigms such as social networks and cloud computing. This course is equivalent to SYSC 5500 at Carleton University.",Lecture,
ELG,6196,Directed Studies ,"Various possibilities exist for pursuing directed studies on topics approved by a course supervisor, including the above listed course topics where they are not offered on a formal basis. This course is equivalent to SYSC 5906 at Carleton University.",Lecture,
ELG,6301,Silicon Photonics ,"Fundamentals of silicon photonics, advanced electromagnetic theory, guided wave optics, interferometry, silicon-on- insulator (SOI) photonics, silicon based waveguide devices (planar, rib, strip), fabrication of photonic devices, passive and active silicon photonic devices such as modulators, lasers, detectors, silicon opto-electronic integration.  This course is equivalent to ELEC 5301 at Carleton University.",Lecture,
ELG,6302,Renewable and Distributed Energy Resource Technologies ,"Topics covered include renewable energy resources, photovoltaic systems, wind generation systems, energy storage units, electric vehicles, grid integration, distributed generation, microgrid, active distribution network, modeling and analysis of power system components, state-of-the-art power system simulation tools. This course is equivalent to ELEC 5302 at Carleton University.",Lecture,
ELG,6303,Advanced Power Systems Analysis ,"Power system sustainability and control, transmission lines, transformers, synchronous generators, induction motor, power flow, small-signal stability, transient stability, voltage stability, state of the art power system simulation tools. This course is equivalent to ELEC 5303 at Carleton University.",Lecture,
ELG,6304,"Multimedia Compression, Scalability, and Adaptation ","A range of access technologies with emphasis on broadband access. Physical channels and the state-of-the-art of coding, modulation, multiplexing strategies to overcome physical impairments. including high-speed transmission over twisted pair, wireless, fibre and co-axial media. This course is equivalent to SYSC 5404 at Carleton University.",Lecture,"Prerequisites:ELG 6153(SYSC 5503 at Carleton), (ELG 6154(SYSC 5504 at Carleton) orELG 5375(EACJ 5506 at Carleton))."
ELG,6305,Electric Motor Drives ,"DC and AC motors, speed and torque control, efficiency, maximum torque per ampere, power converters, rectifiers, inverters, field-oriented vector control, direct torque control, and sensorless control. This course is equivalent to ELEC 5305 at Carleton University.",Lecture,
ELG,6306,Resource Management on Distributed Systems ,"Principles and techniques for resource management on distributed systems including clouds, grids and data analytics platforms; management of computing and storage resources; service level agreements; performance and energy aware techniques for scheduling, allocation, dynamic resource provisioning; cyber-physical systems and BigData; resource management for BigData analytics. This course is equivalent to SYSC 5206 at Carleton University.",Lecture,
ELG,6307,Biological Signals ,"Modeling of neuromuscular biological signals, including subthreshold phenomena, active behaviour of cell membranes, and innervation processes. Measurement of biological signals, including electrode effects. Time domain, frequency domain, and adaptive filtering techniques for noise reduction. This course is equivalent to SYSC5307 at Carleton University.",Lecture,
ELG,6308,Wireless Power Transfer and Energy Harvesting ,"Principles and design guidelines for efficient wireless power transfer and harvesting, short and long range power transfer, RF energy scavenging, and contactless communication. System and subsystem circuit design and analysis is expected and commercial software will be used for all course deliverables. This course is equivalent to ELEC 5408 at Carleton University.",Lecture,
ELG,6309,The Internet of Things ,Main concepts of the Internet of Things (IoT) ranging from the physical devices and sensor networks to the applications and standards. This course is equivalent to SYSC 5809 at Carleton University.,Lecture,
ELG,6312,Sensor Fusion for Autonomous Systems ,"Sensor fusion for autonomous navigation systems. Topics include reference frames, maps representation, state estimation, error modelling, localization and mapping, sensors for autonomous navigation, sensor fusion algorithms. The course is for students with background in signals/systems, linear-algebra, and probability. Programming in Matlab or Python is essential. This course is equivalent to SYSC 5702 at Carleton University.",Lecture,
ELG,6315,Model-Driven Security Engineering ,"Fundamentals of security engineering and its activities, with emphasis on model-driven approaches for asset identification, threat and risk assessment, security requirements elicitation, security controls selection, security evaluation, and security assurance for software intensive-systems. Examination of challenges for engineering secure software. This course is equivalent to SYSC 5805 at Carleton University.",Lecture,
ELG,6317,RF System Design ,"System level design of a typical integrated radio. System architectures for radio front ends. Detailed design procedures going from a radio specification to determine block level specifications: determining NF, EVM, phase noise, linearity from BER and radio range requirements. This course is equivalent to ELEC 5807 at Carleton University.",Lecture,
ELG,6318,Cross Layer Design for Wireless Networks ,"Quality of service measures at different layers. Parameter adaptation, tradeoffs, and optimization at physical, data-link, network, transport, and application layers. Examples of cross-layer design in cellular, ad hoc, sensor, local area, green, and cognitive radio networks. This course is equivalent to SYSC 5406 at Carleton University.",Lecture,
ELG,6320,Advanced Topics in Integrated Circuits and Devices ,Recent and advanced topics in the field of Integrated Circuits and Devices and its related areas. This course is equivalent to EACJ 5208/ELEC 5200 at Carleton University.,Lecture,
ELG,6321,Biomedical Instrumentation ,"Instrumentation designed to measure physiological variables related to the function of the heart, lungs, kidney, nervous and musculo-skeletal system; emergency, critical care, surgery and anaesthesia equipment. This course is equivalent to SYSC 5302 at Carleton University.",Lecture,
ELG,6322,Research Methods for Engineers ,"Topics required to perform engineering research including literature surveys, identifying issues, objectives, and methodology. Technical writing, documenting and presenting engineering ideas and a review of statistics, simulation, optimization and data analysis. This course is equivalent to SYSC 5902 at Carleton University.",Lecture,
ELG,6340,Advanced Linear and Nonlinear Circuit Theory and Application ,"Graph theory, incidence matrices, cutset matrices, generalized KCL, topological formulation, state-space equations, Tellegen's theorem, state-transition matrix, multi-port representation, stability, passivity, causality, synthesis of passive circuits, active networks, nonlinear dynamic circuits.  This course is equivalent to ELEC 6340 at Carleton University.",Lecture,
ELG,6341,Signal Integrity in High-Speed Designs: Modeling and Analysis ,"Crosstalk, distortion, ground bounce, skin effect. Interconnect modeling/simulation, packages, ground/power planes, Elmore delay, lossy-coupled, frequency-dependent transmission lines, telegraphers equations, extraction, measured parameters, macromodeling: passivity/causality, MoC/MRA, vector fit, model reduction, electromagnetic compatibility/interference, mixed-domain systems, concurrent analysis. This course is equivalent to ELEC 5401 at Carleton University.",Lecture,
ELG,6342,Introduction to Electronic Design Automation Algorithms and Techniques ,Digital design process; Overview of design automation tools/methodologies; Theory of computational complexity; Layout compaction; Placement and Partitioning; Floorplanning; Routing; Digital simulation; Switch-level simulation; Logic synthesis; Verification; Analog and RF simulation. Area: Computer-Aided Design for Electronic Circuits. This course is equivalent to ELEC 5402 at Carleton University.,Lecture,
ELG,6344,Neural Networks for High-Speed /High Frequency Circuit Design ,"Neural network methodologies for computer-aided design of high-speed/ high-frequency circuits, including modeling of passive and active devices/circuits, and their applications in high-level design and optimization in wired and wireless electronic systems. This course is equivalent to ELEC 5404 at Carleton University.",Lecture,
ELG,6349,Microwave and Millimeterwave Integrated Circuits ,"Design of communications electronics components with emphasis on GaAs MMIC implementation. Overview of MESFET, HEMT, HBT device modeling. Integrated lumped/ distributed passive element modeling. Broadband impedance matching. Design of direct-coupled amplifiers, distributed amplifiers, power devices and amplifiers, phase shifters, switches, attenuators, mixers, oscillators. This course is equivalent to ELEC 5409 at Carleton University.",Lecture,
ELG,6351,Passive Microware Circuits ,"Characteristics of homogeneous and inhomogeneous transmission lines and waveguides. Planar transmission lines: stripline, microstrip, coplanar lines, slotline. Coupled transmission lines. Modelling of discontinuities. Ferrite components. Microwave network analysis: parameters, CAD models. Design of impedance-matching networks, directional couplers, power splitters, filters. Applications in MICs and MMICs. This course is equivalent to ELEC 5501 at Carleton University.",Lecture,
ELG,6352,Analog Integrated Filters ,"The fundamentals and details of analog continuous-time and SAW filters. Comparison to switched-capacitor filters. Review of filter concepts, types of filters, approximations, transformations. Building blocks such as op amps, transconductance amplifiers, and gyrators. Design using cascaded second-order sections, multiple loop feedback and LC ladder simulations. This course is equivalent to ELEC 5502 at Carleton University.",Lecture,
ELG,6353,Radio Frequency Integrated Circuit Design ,"IIntegrated radio front-end component design. Overview of radio systems, frequency response, gain, noise, linearity, intermodulation, image rejection, impedance matching, stability, and power dissipation. Detailed design of low-noise amplifiers, mixers, oscillators and power amplifiers. Use of on-chip inductors and baluns. Process variations, parasitics, and packaging. This course is equivalent to ELEC 5503 at Carleton University.",Lecture,
ELG,6354,Analysis of High-Speed Electronic Packages and Interconnects ,"Introduction to modeling, simulation and optimization of high-speed VLSI packages; models for packages, interconnects and ground/power planes; lumped, distributed and EM models for interconnects; delay, crosstalk and switching noise; moment matching techniques; concurrent thermal/electrical analysis of IC packages and boards. This course is equivalent to ELEC 5504 at Carleton University.",Lecture,
ELG,6356,Simulation and Optimization of Electronic Circuits ,"Introduction to computer simulation and optimization of electrical circuits. Time- and frequency-domain formulations for sensitivity analysis and optimization. Optimization techniques for performance-, cost- and yield-driven design of electronic circuits. Optimization approaches to modeling and parameter extraction of active and passive elements. This course is equivalent to ELEC 5506 at Carleton University.",Lecture,
ELG,6358,Advanced Methods for Simulation of Large-Scale Circuits and Systems ,Formulation of circuit equations. Sparse matrix techniques. Frequency and time-domain solutions. Relaxation techniques and timing analysis. Noise and distortion analysis. Transmission line effects. Interconnect analysis and crosstalk simulation. Numerical inversion techniques. Asymptotic waveform estimation. Mixed frequency/time domain techniques. Sensitivity analysis. This course is equivalent to ELEC 5508 at Carleton University.,Lecture,
ELG,6359,Integrated Circuit Technology ,"Survey of technology used in silicon VLSI integrated circuit fabrication. Crystal growth and crystal defects, oxidation, diffusion, ion implantation and annealing, gettering, CVD, etching, materials for metallization and contacting, and photolithography. Structures and fabrication techniques required for submicron MOSFETs. Applications in advanced CMOS processes. This course is equivalent to ELEC 5509 at Carleton University.",Lecture,
ELG,6360,Digital Integrated Circuit Testing ,"Production testing of digital integrated circuits. Outline of methods of testing used in production. Testing schemes and design for testability. Faults and fault models, yield estimates, testability measures, fault simulation, test generation methods, sequential testing, scan design, boundary scan, built-in self test, CMOS testing. This course is equivalent to ELEC 5600 at Carleton University.",Lecture,
ELG,6362,Microwave Semiconductor Devices and Applications ,"Theory of operation for microwave diodes (varactor, p-i-n, Gunn, IMPATT) and transistors (BJT, MESFET, HBT, HEMT). Small-signal, large-signal, and noise models for CAD. Diode oscillators and reflection amplifiers. Design of transitor oscillators and amplifiers. Discussion of technology/fabrication issues and MMIC applications. This course is equivalent to ELEC 5602 at Carleton University.",Lecture,
ELG,6364,Radar Systems ,"Fundamentals; range equation, minimum detectable signal, radar cross-section, pulse repetition frequency, range ambiguities. Radar classes: CW, FM-CW, MTI, tracking, air surveillance, SSR, PAR, MLS, SAR, SLAR, OTH, 3D and bistatic radars. Radar subsystems; transmitters, antennas, receivers, processors, displays, detection criteria; CFAR receivers, noise, clutter precipitation. This course is equivalent to ELEC 5604 at Carleton University.",Lecture,
ELG,6365,Optical Fibre Communication ,"Transmission characteristics of and design considerations for multi-mode and single-mode optical fibre waveguides; materials, structures, and device properties of laser light sources; properties and performance of p-i-n and avalanche photodiodes; types of optical fibre signal formats, preamplifier topologies and noise, receiver sensitivity, transmitter design; link design for digital sytems. This course is equivalent to ELEC 5605 at Carleton University.",Lecture,
ELG,6366,Phase-Locked Loops and Receiver Synchronizers ,"Phase-locked loops; components, fundamentals, stability, transient response, sinusoidal operation, noise performance, tracking, acquisition and optimization. Receiver synchronizers: carrier synchronizers including squaring loop, Costas loop, and remodulator for BPSK, QPSK BER performance; clock synchronizers including early-late gate, in-phase/midphase, and delay line multiplier. This course is equivalent to ELEC 5606 at Carleton University.",Lecture,
ELG,6367,Fundamentals of Antenna Engineering ,"Basic properties of antennas (gain, radiation patterns, polarization, antenna temperature). Analysis of common antennas (dipoles, loops, helices, aperture antennas, microstrip, dielectric resonator antennas, reflectors). Analysis and design of linear and planar arrays (array factors, beam scanning, amplitude weighting, feed networks). This course is equivalent to ELEC 5607 at Carleton University.",Lecture,
ELG,6368,Fourier Optics ,"The theory and applications of diffractive and non-diffractive coherent optics, with emphasis on holograms, tomography and high-speed optical computing. Mathematical basis: generalized 2-D Fourier transforms, transfer function of an optical system, 2-D sampling theory, Helmholtz equation, Green's theorem, and the classical diffraction theories. This course is equivalent to ELEC 5608 at Carleton University.",Lecture,
ELG,6369,Nonlinear Microwaves Devices and Effects ,"The physical basis and mathematical modeling of a variety of microwave/millimeter-wave devices, (some of which exhibit the most extreme nonlinear behaviour known), how they can be exploited in practical circuits and systems, and how the resulting device/circuit interactions can be analyzed. This course is equivalent to ELEC 5609 at Carleton University.",Lecture,
ELG,6371,Fibre and Waveguide Components for Communications and Sensors ,"Optical wave propagation in dielectric waveguides. Theory and practice for passive photonic devices used for routing, filtering, and signal processing, including structural and biochemical sensors. Directional couplers and splitters, filters (gratings and etalons), Mach-Zehnder interferometers, Arrayed waveguide gratings, and dispersion compensators. This course is equivalent to ELEC 5701 at Carleton University.",Lecture,
ELG,6372,Principles of Photonics ,Electromagnetic wave propagation in crystals; review of geometric optics; Gaussian beam propagation; optical fibres; dielectric waveguides for optical integrated circuits; optical resonators; optical properties of materials; theory of laser oscillation; specific laser systems; electro-optic modulators; photorefractive materials and applications; holography; optical interconnects. This course is equivalent to ELEC 5702 at Carleton University.,Lecture,
ELG,6373,Advanced Topics in Solid State Devices and Ic Technology ,"Recent and advanced topics in semiconductor device physics, modeling, and integrated circuit fabrication technology. Topic varies from year to year according to departmental research interests. Students may be expected to contribute lectures or seminars on selected topics. This course is equivalent to ELEC 5703 at Carleton University.",Lecture,
ELG,6374,Advanced Topics in Cad ,Recent and advanced topics in computer-aided techniques for the design of VLSI and telecommunications circuits. Topics will vary from year to year according to the departmental research interests. Students may be expected to contribute lectures or seminars on selected topics. This course is equivalent to ELEC 5704 at Carleton University.,Lecture,
ELG,6375,Advanced Topics in Vlsi ,"Recent and advanced topics in the design of very large scale integrated circuits, with emphasis on mixed analog/digital circuits for telecommunications applications. Topic varies from year to year according to departmental research interests. Students may be expected to contribute lectures or seminars on selected topics. This course is equivalent to ELEC 5705 at Carleton University.",Lecture,
ELG,6376,Submicron Cmos and Bicmos Circuits for Sampled Data Applications ,"The analog aspects of digital CMOS and BiCMOS circuit design in submicron technologies including reliability; sampled analog circuits, including amplifier nonidealities and switch charge injection; CMOS/BiCMOS amplifier design considerations, leading up to standard folded-cascode and two-stage circuits. This course is equivalent to ELEC 5706 at Carleton University.",Lecture,
ELG,6377,Microsensors and Mems ,"Physical design of microelectromechanical systems  (MEMS) and microfabricated sensors and actuators. An overview of thin and thick film processes and  micromachining techniques will provide fabrication background. Design of a variety of devices including  piezoresistive, piezoelectric, electromagnetic, thermal,  optical, and chemical sensors and actuators. This course is equivalent to ELEC 5707 at Carleton University.",Lecture,
