Faculty,Code,Title,Description,Components,Prerequisites,TextForBERT
ELG,6376,Submicron Cmos and Bicmos Circuits for Sampled Data Applications ,"The analog aspects of digital CMOS and BiCMOS circuit design in submicron technologies including reliability; sampled analog circuits, including amplifier nonidealities and switch charge injection; CMOS/BiCMOS amplifier design considerations, leading up to standard folded-cascode and two-stage circuits. This course is equivalent to ELEC 5706 at Carleton University.",Lecture,,"submicron cmos and bicmos circuits for sampled data applications. the analog aspects of digital cmos and bicmos circuit design in submicron technologies including reliability; sampled analog circuits, including amplifier nonidealities and switch charge injection; cmos/bicmos amplifier design considerations, leading up to standard folded-cascode and two-stage circuits. this course is equivalent to elec 5706 at carleton university. lecture"
ELG,6377,Microsensors and Mems ,"Physical design of microelectromechanical systems  (MEMS) and microfabricated sensors and actuators. An overview of thin and thick film processes and  micromachining techniques will provide fabrication background. Design of a variety of devices including  piezoresistive, piezoelectric, electromagnetic, thermal,  optical, and chemical sensors and actuators. This course is equivalent to ELEC 5707 at Carleton University.",Lecture,,"microsensors and mems. physical design of microelectromechanical systems (mems) and microfabricated sensors and actuators. an overview of thin and thick film processes and micromachining techniques will provide fabrication background. design of a variety of devices including piezoresistive, piezoelectric, electromagnetic, thermal, optical, and chemical sensors and actuators. this course is equivalent to elec 5707 at carleton university. lecture"
ELG,6378,Asic's in Telecommunications ,"Introduction to modern ASIC technologies for Telecom. Review of circuit-level building blocks for typical wireline and wireless applications, including power/performance tradeoffs. Corresponding FPGA analog and digital IO circuits are discussed. A topical literature study and circuit level design exercises. This course is equivalent to ELEC 5708 at Carleton University.",Lecture,,"asic's in telecommunications. introduction to modern asic technologies for telecom. review of circuit-level building blocks for typical wireline and wireless applications, including power/performance tradeoffs. corresponding fpga analog and digital io circuits are discussed. a topical literature study and circuit level design exercises. this course is equivalent to elec 5708 at carleton university. lecture"
ELG,6380,Theory Semiconductor Devices ,"Equilibrium and non-equilibrium conditions in a semiconductor. Carrier transport theory. Physical theory of basic semiconductor device structures and aspects of design: PN junctions and bipolar transistors, field effect devices. Current transport relationships for transistors. Charge control theory. Modeling of device mechanisms. Performance limitations of transistors. This course is equivalent to ELEC 5800 at Carleton University.",Lecture,Prerequisites:ELG 6384.,"theory semiconductor devices. equilibrium and non-equilibrium conditions in a semiconductor. carrier transport theory. physical theory of basic semiconductor device structures and aspects of design: pn junctions and bipolar transistors, field effect devices. current transport relationships for transistors. charge control theory. modeling of device mechanisms. performance limitations of transistors. this course is equivalent to elec 5800 at carleton university. lecture prerequisites:elg 6384."
ELG,6381,High-Speed and Low-Power Vlsi ,"High-Speed and Low-Power CMOS VLSI circuit techniques. Low and high levels of abstraction; transistor, switch, logic-gate, module, system levels. State-of-the-art techniques to optimize the performance and energy consumption of a circuit. One or more of these techniques are used in a design project. This course is equivalent to ELEC 5801 at Carleton University.",Lecture,Prerequisites:ELG 6384.,"high-speed and low-power vlsi. high-speed and low-power cmos vlsi circuit techniques. low and high levels of abstraction; transistor, switch, logic-gate, module, system levels. state-of-the-art techniques to optimize the performance and energy consumption of a circuit. one or more of these techniques are used in a design project. this course is equivalent to elec 5801 at carleton university. lecture prerequisites:elg 6384."
ELG,6382,Surface Controlled Semiconductor Devices ,"Fundamentals of the MOS system: MOS capacitors. Long channel behaviour: theory, limitations and performance of the SPICE level 1 and 2 models. Small geometry effects: theory, limitations and performance of the SPICE level 3 model. Subthreshold operation and modelling. Hot electron effects and reliability. Advanced analysis: the MISNAN model. This course is equivalent to ELEC 5802 at Carleton University.",Lecture,,"surface controlled semiconductor devices. fundamentals of the mos system: mos capacitors. long channel behaviour: theory, limitations and performance of the spice level 1 and 2 models. small geometry effects: theory, limitations and performance of the spice level 3 model. subthreshold operation and modelling. hot electron effects and reliability. advanced analysis: the misnan model. this course is equivalent to elec 5802 at carleton university. lecture"
ELG,6383,Behavioural Synthesis of ICs ,"Various topics related to computer analysis and synthesis of VLSI circuits including: logic synthesis, finite state machine synthesis, design methodologies, design for reuse, testing, common VLSI functions, a review of Verilog. This course is equivalent to ELEC 5803 at Carleton University.",Lecture,,"behavioural synthesis of ics. various topics related to computer analysis and synthesis of vlsi circuits including: logic synthesis, finite state machine synthesis, design methodologies, design for reuse, testing, common vlsi functions, a review of verilog. this course is equivalent to elec 5803 at carleton university. lecture"
ELG,6384,VLSI Design ,"IC design course with strong emphasis on design methodology, to be followed by ELEC 5805 (ELG 6385) in the second term. Design philosophies considered will include Full Custom design, standard cells, gate-arrays and sea-of-gates using CMOS and BiCMOS technology. State-of-the-art computer-aided design tools are used.",Lecture,,"vlsi design. ic design course with strong emphasis on design methodology, to be followed by elec 5805 (elg 6385) in the second term. design philosophies considered will include full custom design, standard cells, gate-arrays and sea-of-gates using cmos and bicmos technology. state-of-the-art computer-aided design tools are used. lecture"
ELG,6385,VLSI Design Project ,"Using state-of-the-art CMOS and BiCMOS technologies, students will initiate their own design of an integrated circuit using tools in the CAD lab and submit it for fabrication where the design warrants. This course is equivalent to ELEC 5805 at Carleton University.",Lecture,,"vlsi design project. using state-of-the-art cmos and bicmos technologies, students will initiate their own design of an integrated circuit using tools in the cad lab and submit it for fabrication where the design warrants. this course is equivalent to elec 5805 at carleton university. lecture"
ELG,6388,Signal Processing Electronics ,"Integrated radio front-end component design. Overview of radio systems, frequency response, gain, noise, linearity, intermodulation, image rejection, impedance matching, stability, and power dissipation. Detailed design of low-noise amplifiers, mixers, oscillators and power amplifiers. Use of on-chip inductors and baluns. Process variations, parasitics, and packaging. This course is equivalent to ELEC 5503 at Carleton University.",Lecture,,"signal processing electronics. integrated radio front-end component design. overview of radio systems, frequency response, gain, noise, linearity, intermodulation, image rejection, impedance matching, stability, and power dissipation. detailed design of low-noise amplifiers, mixers, oscillators and power amplifiers. use of on-chip inductors and baluns. process variations, parasitics, and packaging. this course is equivalent to elec 5503 at carleton university. lecture"
ELG,6389,Nonlinear Electronic Circuits ,"Introduction to non-linear circuits used in today's telecommunications ICs; CMOS non-linear circuits such as direct-RF-sampling mixers, phase-detectors; digital loop-filters, DCOs, frequency synthesizers and clock-and-data-recovery are introduced. Modeling of these non-linear circuits and existing options for simulations and closed form circuit analysis is presented. This course is equivalent to ELEC 5809 at Carleton University.",Lecture,"CoursesELG 6389(ELEC 5809 at Carleton),ELG 6375(ELEC 5705 at Carleton) cannot be combined for units if taken as a special topic inELG 6375.","nonlinear electronic circuits. introduction to non-linear circuits used in today's telecommunications ics; cmos non-linear circuits such as direct-rf-sampling mixers, phase-detectors; digital loop-filters, dcos, frequency synthesizers and clock-and-data-recovery are introduced. modeling of these non-linear circuits and existing options for simulations and closed form circuit analysis is presented. this course is equivalent to elec 5809 at carleton university. lecture courseselg 6389(elec 5809 at carleton),elg 6375(elec 5705 at carleton) cannot be combined for units if taken as a special topic inelg 6375."
ELG,6393,Interactive Networked Systems & Telemedicine ,"Telemanipulator; human motoring and sensory capabilities; typical interface devices; mathematical model of haptic interfaces; haptic rendering; stability and transparency; remote control schemes; time delay compensation; networking and real-time protocols, history and challenges of telemedicine; telemedicine applications: telesurgery, tele-monitoring, tele-diagnosis and tele-homecare. This course is equivalent to SYSC 5303 at Carleton University.",Lecture,CoursesELG 6383(SYSC 5303 at Carleton) andBMG 5304(BIOM 5402 at Carleton) cannot be combined for units.,"interactive networked systems & telemedicine. telemanipulator; human motoring and sensory capabilities; typical interface devices; mathematical model of haptic interfaces; haptic rendering; stability and transparency; remote control schemes; time delay compensation; networking and real-time protocols, history and challenges of telemedicine; telemedicine applications: telesurgery, tele-monitoring, tele-diagnosis and tele-homecare. this course is equivalent to sysc 5303 at carleton university. lecture courseselg 6383(sysc 5303 at carleton) andbmg 5304(biom 5402 at carleton) cannot be combined for units."
ELG,6397,"Solar Cells - Principles, Materials, Systems and Operation ","Solar radiation. Solar cells: crystalline silicon, thin film technologies, space and concentrator cells, organic and dye sensitized.  Photovoltaic systems: introduction, balance of system components, grid-connected systems, space and concentrator systems. Testing, monitoring, and calibration standards.  Economics, environment and business strategy. This course is equivalent to ELEC 5304 at Carleton University.",Lecture,,"solar cells - principles, materials, systems and operation. solar radiation. solar cells: crystalline silicon, thin film technologies, space and concentrator cells, organic and dye sensitized. photovoltaic systems: introduction, balance of system components, grid-connected systems, space and concentrator systems. testing, monitoring, and calibration standards. economics, environment and business strategy. this course is equivalent to elec 5304 at carleton university. lecture"
CEG,2136,Computer Architecture I ,"Design a digital computer to execute a given instruction set.  Design of digital computers.  Register transfer and microoperations. Designing the instruction set, CPU and CPU control.  Basic machine language programming.  Using pipelines for CPU design.  Designing the memory unit.  Designing Imput-Output subsystem.","Discussion Group, Laboratory, Lecture",Prerequisite:ITI 1100.,"computer architecture i. design a digital computer to execute a given instruction set. design of digital computers. register transfer and microoperations. designing the instruction set, cpu and cpu control. basic machine language programming. using pipelines for cpu design. designing the memory unit. designing imput-output subsystem. discussion group, laboratory, lecture prerequisite:iti 1100."
CEG,3136,Computer Architecture II ,Microprocessors and their general architecture. CISC and RISC architectures. Microcontrollers. Embedded systems. Designing computers using microprocessors. Introduction to computer hardware software codesign.,"Laboratory, Lecture, Tutorial",Prerequisite:CEG 2136.,"computer architecture ii. microprocessors and their general architecture. cisc and risc architectures. microcontrollers. embedded systems. designing computers using microprocessors. introduction to computer hardware software codesign. laboratory, lecture, tutorial prerequisite:ceg 2136."
CEG,3155,Digital Systems II ,"Concepts of Sequential Logic: Finite State Machine model, state transition tables and state diagrams, Mealy and Moore models. Sequential circuits design: state reduction and assignment; implementation with D or JK flip-flops. Incompletely specified sequential circuits. Alternative State Machine representations: Algorithmic State Machines (ASM) and Hardware Description Languages (e.g., VHDL.). Synchronous sequential logic design with programmable logic (PLD, ROM, FPGA). Applications in designing computer interfaces and controllers. Asynchronous circuits. Hazards. Estimating the preliminary bill of materials (BOM) cost.","Tutorial, Laboratory, Lecture",Prerequisite:CEG 2136.,"digital systems ii. concepts of sequential logic: finite state machine model, state transition tables and state diagrams, mealy and moore models. sequential circuits design: state reduction and assignment; implementation with d or jk flip-flops. incompletely specified sequential circuits. alternative state machine representations: algorithmic state machines (asm) and hardware description languages (e.g., vhdl.). synchronous sequential logic design with programmable logic (pld, rom, fpga). applications in designing computer interfaces and controllers. asynchronous circuits. hazards. estimating the preliminary bill of materials (bom) cost. tutorial, laboratory, lecture prerequisite:ceg 2136."
CEG,3156,Computer Systems Design ,"Computer design representations, levels of abstraction, systems specification and design. Models and architectures. Designing with a hardware description language (HDL) (e.g. VHDL). Advanced processor design methodologies. Memory hierarchies and interconnecting I/O devices to the processor.  Estimating the design quality and evaluating the performance. Generic design methodologies.","Laboratory, Lecture, Tutorial",Prerequisite:CEG 3155.,"computer systems design. computer design representations, levels of abstraction, systems specification and design. models and architectures. designing with a hardware description language (hdl) (e.g. vhdl). advanced processor design methodologies. memory hierarchies and interconnecting i/o devices to the processor. estimating the design quality and evaluating the performance. generic design methodologies. laboratory, lecture, tutorial prerequisite:ceg 3155."
CEG,3185,Introduction to Data Communications and Networking ,"Overview of computer networking, communication and transmission systems. Physical layer: introduction to Fourier analysis and signal impairments; basics of information theory, channel capacity, analog and digital data transmission, signal encoding. Data link layer protocols and multiplexing. Medium Access Control, framing, error control, flow/congestion control and their algorithms. Network layer: circuit vs. packet switching, asynchronous transfer mode, routing algorithms. Internet architectures and protocols. LAN architectures. Introduction to Wireless LANs.","Laboratory, Lecture, Tutorial",Prerequisite:MAT 2377or (MAT 2371andMAT 2375) orELG 3126are corequisite toCEG 3185.,"introduction to data communications and networking. overview of computer networking, communication and transmission systems. physical layer: introduction to fourier analysis and signal impairments; basics of information theory, channel capacity, analog and digital data transmission, signal encoding. data link layer protocols and multiplexing. medium access control, framing, error control, flow/congestion control and their algorithms. network layer: circuit vs. packet switching, asynchronous transfer mode, routing algorithms. internet architectures and protocols. lan architectures. introduction to wireless lans. laboratory, lecture, tutorial prerequisite:mat 2377or (mat 2371andmat 2375) orelg 3126are corequisite toceg 3185."
CEG,4136,Computer Architecture III ,"Multiprocessor systems: vector processors, array processors, SIMD, MIMD systems. Interconnection networks. Multiprocessor architecture and programming. Multiprocessing control and algorithms. The PRAM model and algorithms. Message-passing models and algorithms. Scheduling and arbitration algorithms. Parallel virtual machine. Message passing interface. Performance measures for multiprocessor systems.","Laboratory, Lecture, Tutorial",Prerequisite:CEG 3136.,"computer architecture iii. multiprocessor systems: vector processors, array processors, simd, mimd systems. interconnection networks. multiprocessor architecture and programming. multiprocessing control and algorithms. the pram model and algorithms. message-passing models and algorithms. scheduling and arbitration algorithms. parallel virtual machine. message passing interface. performance measures for multiprocessor systems. laboratory, lecture, tutorial prerequisite:ceg 3136."
CEG,4140,Digital Control Systems ,Linear discrete dynamic systems. The z-transform. Sampled data systems. Sample rate selection. Quantization effects. Discrete equivalents of continuous transfer functions; the digital filter. Design of digital control systems using state-space models. System identification. Application and practice of digital control.,"Discussion Group, Laboratory, Lecture","Prerequisites:ELG 3155,MAT 2384.","digital control systems. linear discrete dynamic systems. the z-transform. sampled data systems. sample rate selection. quantization effects. discrete equivalents of continuous transfer functions; the digital filter. design of digital control systems using state-space models. system identification. application and practice of digital control. discussion group, laboratory, lecture prerequisites:elg 3155,mat 2384."
CEG,4158,Computer Control in Robotics ,"Evolution of robotics, mobile and manipulator robots, coordinate systems, kinematic models of manipulators, position, velocity and force control, sensors and actuators, robotic vision, workspace modeling, task and path planning, industrial robots, manufacturing and autonomous systems, robot programming.","Laboratory, Lecture, Tutorial","Prerequisites:CEG 2136,ELG 3155.","computer control in robotics. evolution of robotics, mobile and manipulator robots, coordinate systems, kinematic models of manipulators, position, velocity and force control, sensors and actuators, robotic vision, workspace modeling, task and path planning, industrial robots, manufacturing and autonomous systems, robot programming. laboratory, lecture, tutorial prerequisites:ceg 2136,elg 3155."
CEG,4166,Real-Time Systems Design ,"Definition of real-time systems; examples.  Characteristics of real-time systems.  Analysis frameworks and tools.  Elements of real-time system structure.  Reliability and fault tolerance. Exceptions and exception handling.  Concurrency and concurrent programming in real-time systems.  Synchronisation and communication, resource control, and scheduling in real-time systems. Real-time systems design methodologies.  Computer assisted design of real-time systems","Laboratory, Lecture, Tutorial",Prerequisite:CSI 3131.,"real-time systems design. definition of real-time systems; examples. characteristics of real-time systems. analysis frameworks and tools. elements of real-time system structure. reliability and fault tolerance. exceptions and exception handling. concurrency and concurrent programming in real-time systems. synchronisation and communication, resource control, and scheduling in real-time systems. real-time systems design methodologies. computer assisted design of real-time systems laboratory, lecture, tutorial prerequisite:csi 3131."
CEG,4186,Wireless Networks ,"Principles of wireless mobile networks. Cellular wireless networks. Multiple access protocols. Channel allocation algorithms. Data communications in wireless networks. Mobility and location management algorithms. Transport layer in wireless networks. Security; data management. Wireless Internet access protocols. Ad hoc and sensor networks, routing algorithms and protocols.","Laboratory, Lecture, Tutorial","Prerequisite:CEG 3185. The coursesCEG 4186,ELG 4179cannot be combined for units.","wireless networks. principles of wireless mobile networks. cellular wireless networks. multiple access protocols. channel allocation algorithms. data communications in wireless networks. mobility and location management algorithms. transport layer in wireless networks. security; data management. wireless internet access protocols. ad hoc and sensor networks, routing algorithms and protocols. laboratory, lecture, tutorial prerequisite:ceg 3185. the coursesceg 4186,elg 4179cannot be combined for units."
CEG,4187,Optical Networks ,Introduction to optical networking. Optical Switching components and systems. Wavelength Division Multiplexing. WDM networks. Optical ring networks Vs optical mesh networks. Optical network control architecture. Routing and wavelength assignment algorithms. Protection and restoration mechanisms in optical networks. Optical networks case studies.,"Discussion Group, Laboratory, Lecture",Prerequisite:CEG 3185.,"optical networks. introduction to optical networking. optical switching components and systems. wavelength division multiplexing. wdm networks. optical ring networks vs optical mesh networks. optical network control architecture. routing and wavelength assignment algorithms. protection and restoration mechanisms in optical networks. optical networks case studies. discussion group, laboratory, lecture prerequisite:ceg 3185."
CEG,4188,Higher Layer Network Protocols ,"Communication services, protocols and software. Internet Protocols and IP addressing. Transport protocols: TCP, UDP, Quality of Service, connection management, flow and congestion control. Session, presentation and application protocols, such as DNS, Security, SNMP, HTTP. Performance issues. Fundamental concepts of computer network design.","Laboratory, Lecture, Tutorial",Prerequisites:CEG 3185.,"higher layer network protocols. communication services, protocols and software. internet protocols and ip addressing. transport protocols: tcp, udp, quality of service, connection management, flow and congestion control. session, presentation and application protocols, such as dns, security, snmp, http. performance issues. fundamental concepts of computer network design. laboratory, lecture, tutorial prerequisites:ceg 3185."
CEG,4190,Computer Network Design ,"Computer network design goals. Hierarchical design. LAN models and design, VLANs. Internet technologies; Internetworking principles and design. WAN design. Mobile wireless networks. Medium Access Control protocols. Quality of Service control. Traffic flow measurement and management.","Laboratory, Lecture, Tutorial",Prerequisite:CEG 3185.,"computer network design. computer network design goals. hierarchical design. lan models and design, vlans. internet technologies; internetworking principles and design. wan design. mobile wireless networks. medium access control protocols. quality of service control. traffic flow measurement and management. laboratory, lecture, tutorial prerequisite:ceg 3185."
CEG,4195,Applied Machine Learning for Computer Engineering ,Basic theory of machine learning. Application to engineering problems. Supervised and unsupervised  learning. Neural networks. Convolutional neural nets. Large language models. Tools for developing machine learning models and software applications that incorporate machine learning. Quality assurance and operations (MLOps) of machine learning systems. Feature engineering and prompt engineering. Case studies in various domains.,"Laboratory, Lecture","Prerequisites:MAT 1341,MAT 2377or (MAT 2371,MAT 2375),SEG 2105and 6 university course units in CEG or SEG at the 3000 level. CoursesCEG 4195,CSI 4145,SEG 4180cannot be combined for units.","applied machine learning for computer engineering. basic theory of machine learning. application to engineering problems. supervised and unsupervised learning. neural networks. convolutional neural nets. large language models. tools for developing machine learning models and software applications that incorporate machine learning. quality assurance and operations (mlops) of machine learning systems. feature engineering and prompt engineering. case studies in various domains. laboratory, lecture prerequisites:mat 1341,mat 2377or (mat 2371,mat 2375),seg 2105and 6 university course units in ceg or seg at the 3000 level. coursesceg 4195,csi 4145,seg 4180cannot be combined for units."
CEG,4198,Distributed Systems Design ,"Hardware/software architectures for distributed computing environments. Design issues for distributed systems and distributed computing. Protocols for process communications. Time and coordination; algorithms. Design of distributed systems memory; shared memory. Replication mechanisms and architectures. Design of distributed system services: File, Naming, Security and Transactions Services in distributed systems. Recovery and fault tolerance. Performance of distributed systems. Designing distributed computing environments.","Discussion Group, Laboratory, Lecture","Prerequisites:SEG 2106,CEG 3185.","distributed systems design. hardware/software architectures for distributed computing environments. design issues for distributed systems and distributed computing. protocols for process communications. time and coordination; algorithms. design of distributed systems memory; shared memory. replication mechanisms and architectures. design of distributed system services: file, naming, security and transactions services in distributed systems. recovery and fault tolerance. performance of distributed systems. designing distributed computing environments. discussion group, laboratory, lecture prerequisites:seg 2106,ceg 3185."
CEG,4316,Digital Image Processing ,"Introduction to image processing.  Two and three-dimensional signals and systems.  Linear filters and Fourier Transforms.  Image sampling and quantization.  Color spaces.  Image representations: block transforms and subband/wavelet representations.  Image transformations and filtering, image restoration.  Source coding methods: entropy coding, quantization, predictive, transform and subband coding, application to lossless and lossy image and video coding.","Discussion Group, Laboratory, Lecture",Prerequisite:ELG 3125.,"digital image processing. introduction to image processing. two and three-dimensional signals and systems. linear filters and fourier transforms. image sampling and quantization. color spaces. image representations: block transforms and subband/wavelet representations. image transformations and filtering, image restoration. source coding methods: entropy coding, quantization, predictive, transform and subband coding, application to lossless and lossy image and video coding. discussion group, laboratory, lecture prerequisite:elg 3125."
CEG,4396,Computer Network Management ,"Foundations of network and system management. Management architectures. Information model, organizational model, communication model, Functional model; SNMP network management; OSI network management, CMIP; Internet management.","Tutorial, Laboratory, Lecture",Prerequisite:CEG 3185.,"computer network management. foundations of network and system management. management architectures. information model, organizational model, communication model, functional model; snmp network management; osi network management, cmip; internet management. tutorial, laboratory, lecture prerequisite:ceg 3185."
CEG,4399,Design of Secure Computer Systems ,"Security policies. Security mechanisms. Physical security. Security awareness. User authentication. Application security mechanisms. Encryption. External and internal firewalls. Security of operating systems and software. Security of e-commerce applications. Design of security system and components. Devices for security analysis; sniffers, attack detectors. Information warfare. Ethical issues in computer security.","Laboratory, Lecture, Tutorial",Prerequisite:CEG 3185or CSI 3103.,"design of secure computer systems. security policies. security mechanisms. physical security. security awareness. user authentication. application security mechanisms. encryption. external and internal firewalls. security of operating systems and software. security of e-commerce applications. design of security system and components. devices for security analysis; sniffers, attack detectors. information warfare. ethical issues in computer security. laboratory, lecture, tutorial prerequisite:ceg 3185or csi 3103."
BMG,5103,Biomedical Instrumentation ,"Instrumentation designed to measure physiological variables related to the function of the heart, lungs, kidney, nervous and musculo-skeletal systems; emergency, critical care, surgery and anesthesia equipment. This course is equivalent to BIOM 5100 at Carleton University.",Lecture,"CoursesBMG 5103,ELG 6320cannot be combined for units.","biomedical instrumentation. instrumentation designed to measure physiological variables related to the function of the heart, lungs, kidney, nervous and musculo-skeletal systems; emergency, critical care, surgery and anesthesia equipment. this course is equivalent to biom 5100 at carleton university. lecture coursesbmg 5103,elg 6320cannot be combined for units."
BMG,5104,Biological Signals ,"Modeling of neuromuscular biological signals, including subthreshold phenomena, active behaviour of cell membranes, and innervation processes. Measurement of biological signals, including electrode effects. Time domain, frequency domain, and adaptive filtering techniques for noise reduction. This course is equivalent to BIOM 5101 at Carleton University.",Lecture,,"biological signals. modeling of neuromuscular biological signals, including subthreshold phenomena, active behaviour of cell membranes, and innervation processes. measurement of biological signals, including electrode effects. time domain, frequency domain, and adaptive filtering techniques for noise reduction. this course is equivalent to biom 5101 at carleton university. lecture"
BMG,5105,Medical Imaging Modalities ,"Mathematical models of image formation based on the image modality and tissue properties. Linear models of image degradation and reconstruction. Inverse problems, regularization for image reconstruction. Image formation in radiology, computed tomography, MRI, nuclear medicine, ultrasound, positron emission tomography. This course is equivalent to BIOM 5200 at Carleton University.",Lecture,"CoursesBMG 5105,ELG 5127cannot be combined for units.","medical imaging modalities. mathematical models of image formation based on the image modality and tissue properties. linear models of image degradation and reconstruction. inverse problems, regularization for image reconstruction. image formation in radiology, computed tomography, mri, nuclear medicine, ultrasound, positron emission tomography. this course is equivalent to biom 5200 at carleton university. lecture coursesbmg 5105,elg 5127cannot be combined for units."
BMG,5106,Introduction to Medical Imaging Principles and Technology ,"Basic principles and technological implementation of x-ray, nuclear medicine, magnetic resonance imaging (MRI), and other imaging modalities used in medicine; contrast, resolution, storage requirements for digital images; applications outside medicine, future trends. This course is equivalent to BIOM 5201 at Carleton University.",Lecture,Permission of the Department is required.,"introduction to medical imaging principles and technology. basic principles and technological implementation of x-ray, nuclear medicine, magnetic resonance imaging (mri), and other imaging modalities used in medicine; contrast, resolution, storage requirements for digital images; applications outside medicine, future trends. this course is equivalent to biom 5201 at carleton university. lecture permission of the department is required."
BMG,5107,Applications in Biomedical Image Processing ,"Image processing methods applied to biomedical images. Overview of medical imaging modalities. Image enhancement, segmentation, registration, and fusion. Image quality metrics. Image formats. Application examples. Includes: Experiential Learning Activity This course is equivalent to BIOM 5202 at Carleton University.",Lecture,,"applications in biomedical image processing. image processing methods applied to biomedical images. overview of medical imaging modalities. image enhancement, segmentation, registration, and fusion. image quality metrics. image formats. application examples. includes: experiential learning activity this course is equivalent to biom 5202 at carleton university. lecture"
BMG,5112,Introduction to Biomedical Engineering ,"Research ethics and methods. Engineering systems approach to analysis and modelling of human anatomy and physiology. Introduction to topics including biomechanics, electrophysiology, and computational biology. Biomedical technologies. Impact of technology on society. This course is equivalent to BIOM 5010 at Carleton University.",Lecture,,"introduction to biomedical engineering. research ethics and methods. engineering systems approach to analysis and modelling of human anatomy and physiology. introduction to topics including biomechanics, electrophysiology, and computational biology. biomedical technologies. impact of technology on society. this course is equivalent to biom 5010 at carleton university. lecture"
BMG,5113,Clinical Engineering ,"Overview of the Canadian health care system; brief examples from other countries; clinical engineering and the management of technologies in industrialized and in developing countries; safety, reliability, quality assurance; introduction to biomedical sensor technologies; applications of telemedicine; impact of technology on health care. This course is equivalent to BIOM 5406 at Carleton University.",Lecture,,"clinical engineering. overview of the canadian health care system; brief examples from other countries; clinical engineering and the management of technologies in industrialized and in developing countries; safety, reliability, quality assurance; introduction to biomedical sensor technologies; applications of telemedicine; impact of technology on health care. this course is equivalent to biom 5406 at carleton university. lecture"
BMG,5120,Biomechanics of Movement ,"Human and animal movement examined through the lens of mechanics. Biological, mechanical, and neurological processes by which muscles produce movement. Experimental, mathematical, and computational tools. Clinical and sports applications. Recent advances in biomedical research.  Assignments, computer simulations, and a small research project.",Lecture,"The coursesBMG 5120,MCG 4153, andMCG 4553cannot be combined for units.","biomechanics of movement. human and animal movement examined through the lens of mechanics. biological, mechanical, and neurological processes by which muscles produce movement. experimental, mathematical, and computational tools. clinical and sports applications. recent advances in biomedical research. assignments, computer simulations, and a small research project. lecture the coursesbmg 5120,mcg 4153, andmcg 4553cannot be combined for units."
BMG,5122,Biomaterials and Tissue Engineering: Theories and Applications ,"This course covers principles of materials science and cell biology that apply to biomaterials and tissue engineering. Polymers, ceramics, metals, biomaterial surface modifications, molecular and cellular interactions with biomaterials, immune response, tissue engineering principles, ethical considerations and regulatory overview. Technical analysis of a biomaterial-based medical device.",Lecture,"The coursesBMG 5122,MCG 4154, andMCG 4554cannot be combined for units.","biomaterials and tissue engineering: theories and applications. this course covers principles of materials science and cell biology that apply to biomaterials and tissue engineering. polymers, ceramics, metals, biomaterial surface modifications, molecular and cellular interactions with biomaterials, immune response, tissue engineering principles, ethical considerations and regulatory overview. technical analysis of a biomaterial-based medical device. lecture the coursesbmg 5122,mcg 4154, andmcg 4554cannot be combined for units."
BMG,5130,Fundamentals of Policy I: Policy Analysis ,"Policy analysis and policy processes with an emphasis on the stages of the policy process, as well as the influences of institutions, ideas and interests. This course is equivalent to HLTH 5201 at Carleton University.",Lecture,,"fundamentals of policy i: policy analysis. policy analysis and policy processes with an emphasis on the stages of the policy process, as well as the influences of institutions, ideas and interests. this course is equivalent to hlth 5201 at carleton university. lecture"
BMG,5300,Biological and Engineering Materials ,"Properties of structural biological materials (bone, tendon, ligament, skin, cartilage, muscle, and blood vessels) from an engineering materials viewpoint. Selection of engineering materials as biomaterials. Introduction to biocompatibility. Histology of soft tissues. Viscoelasticity, mechanical properties and models of muscles, ligaments and tendons. This course is equivalent to BIOM 5300 at Carleton University.",Lecture,Permission of the Department is required.,"biological and engineering materials. properties of structural biological materials (bone, tendon, ligament, skin, cartilage, muscle, and blood vessels) from an engineering materials viewpoint. selection of engineering materials as biomaterials. introduction to biocompatibility. histology of soft tissues. viscoelasticity, mechanical properties and models of muscles, ligaments and tendons. this course is equivalent to biom 5300 at carleton university. lecture permission of the department is required."
BMG,5301,"Biomechanics of Skeletal System, Motion and Tissue ","Analysis of human motion. Kinematics and kinetics of various activities. Engineering analysis and modeling techniques applied to human motion. Injury mechanics, treatment, prosthetic replacements. Fracture behaviour and healing processes. This course is equivalent to BIOM 5301 at Carleton University.",Lecture,Permission of the Department is required.,"biomechanics of skeletal system, motion and tissue. analysis of human motion. kinematics and kinetics of various activities. engineering analysis and modeling techniques applied to human motion. injury mechanics, treatment, prosthetic replacements. fracture behaviour and healing processes. this course is equivalent to biom 5301 at carleton university. lecture permission of the department is required."
BMG,5302,Biofluid Mechanics ,"Properties of blood. Blood flow models for vessels, circulation systems and the heart. Man-made blood vessels. Kidney flow and exchange. Modeling of perfused tissues and cells. Transport phenomena across membranes. Molecular and ionic transport. Other body fluids. This course is equivalent to BIOM 5302 at Carleton University.",Lecture,Permission of the Department is required.,"biofluid mechanics. properties of blood. blood flow models for vessels, circulation systems and the heart. man-made blood vessels. kidney flow and exchange. modeling of perfused tissues and cells. transport phenomena across membranes. molecular and ionic transport. other body fluids. this course is equivalent to biom 5302 at carleton university. lecture permission of the department is required."
