StudentText,LikedCourses
i like theory of structures ii.,CVG 4148
i enjoy civil engineering materials.,CVG 2141
i enjoy fundamentals of fluid dynamics.,MCG 5300;MCG 2142
i enjoy digital signal processing.,ELG 6162
"i am interested in courses like advanced digital communication, project information management.",ELG 6165;CVG 5186
i enjoy network access techniques.,ELG 6143;ELG 5143
i enjoy studying areas such as biological and engineering materials. i am not looking for mechanical engineering topics.,BMG 5300
i enjoy the internet of things.,ELG 6309
"i enjoy studying areas such as mechanical engineering capstone project (6 units), mechanical engineering capstone project: part i.",MCG 4322;MCG 3221
i am interested in courses like the boundary element method (bem). i would rather avoid purely theoretical classes.,MCG 5367
i enjoy digital signal processing.,ELG 4177
i am interested in courses like vlsi design project. i would rather avoid purely theoretical classes.,ELG 6385
i am interested in courses like digital control systems.,CEG 4140
i like biomechanics of movement.,MCG 4153;CVG 4175
i like process control.,CHG 3335
i like theory of structures ii.,CVG 4148
"i am interested in courses like advanced concrete technology, clinical engineering.",CVG 4172;BMG 5113
"i enjoy studying areas such as medical imaging modalities, finite element analysis. i am not looking for mechanical engineering topics.",BMG 5105;MCG 4102
i like thermodynamics ii.,MCG 2131
i like water treatment in northern communities.,CVG 4135
i enjoy pavement and materials.,CVG 7103
i am interested in courses like software agents. i would rather avoid purely theoretical classes.,ELG 6113
i enjoy micromechanics of solids. i am not looking for mechanical engineering topics.,MCG 5110
"i am interested in courses like blast load effects on structures, wireless ad hoc networking.",CVG 7184;ELG 5128
i enjoy studying areas such as resource management on distributed systems.,ELG 6306
i like reinforced concrete design i.,CVG 3148
i like advanced reinforced concrete.,CVG 5144;ELG 5372
i enjoy computational methods in fluid and heat transfer.,MCG 4139;MCG 3131
i am interested in courses like numerical modelling in civil engineering.,CVG 2181
i enjoy introduction to polymer reaction engineering.,CHG 4331;BMG 5311
"i am interested in courses like methodologies for discrete-event modeling and simulation, membranes in clean processes.",ELG 6114;CHG 8192
"i enjoy studying areas such as climate-resilient infrastructures in a changing climate, communication systems.",CVG 5216;ELG 4176
i like rock mechanics.,CVG 5187;SEG 4105
"i enjoy studying areas such as digital signal processing, uncertainty evaluation in engineering measurements and machine learning.",ELG 5376;ELG 5218
"i enjoy studying areas such as telecommunications software design and analysis, oil and gas processing.",SEG 4156;CHG 8302
i am interested in courses like digital systems ii.,CEG 3155
i like introduction to biomedical engineering. i am not looking for mechanical engineering topics.,BMG 5112;SEG 4105
i like introduction to data communications and networking.,CEG 3185
i like data encryption.,ELG 5373
i enjoy studying areas such as stochastic processes.,ELG 5119
"i enjoy electric power transmission, distribution and utilization.",ELG 4125
i am interested in courses like advanced linear and nonlinear circuit theory and application.,ELG 6340
i like phase-locked loops and receiver synchronizers. i would rather avoid purely theoretical classes.,ELG 6366;MCG 4366
i like laminar flow theory. i would rather avoid purely theoretical classes.,MCG 5151;ELG 5195
i am interested in courses like theory of elasticity.,CVG 5145
"i enjoy studying areas such as fundamentals of fire safety engineering, elements of computer systems.",CVG 7170;ELG 6174
i enjoy introduction to electronic design automation algorithms and techniques.,ELG 6342
"i am interested in courses like renewable fuels, graphical models. i am not interested in business courses.",CHG 8301;ELG 5131
"i am interested in courses like reinforced concrete design i, doctoral seminar in civil engineering.",CVG 3148;CVG 8366
"i am interested in courses like signal and system analysis, advanced digital communication.",ELG 3125;ELG 5180
"i enjoy studying areas such as design of multimedia distributed database systems, biomechanics of movement.",ELG 5199;MCG 4153
i am interested in courses like theory of viscous flows.,MCG 5301
"i enjoy studying areas such as nuclear engineering, wireless power transfer and energy harvesting. i am less interested in software-heavy courses.",MCG 5322;ELG 6308
i enjoy research methodology.,CVG 5333;CVG 4142
i am interested in courses like solid waste management.,CVG 4133
i like survivable optical networks.,ELG 5383;CVG 4148
i enjoy studying areas such as advanced chemical engineering thermodynamics. i am less interested in software-heavy courses.,CHG 8123
"i enjoy studying areas such as coastal engineering, finite element analysis i. i am not looking for mechanical engineering topics.",CVG 5124;MCG 5365
i enjoy optical fibre communication.,ELG 6365
i am interested in courses like optical communications systems.,ELG 5103
i like fluid mechanics i.,MCG 3340;ELG 5386
i like introduction to communication systems.,ELG 3175
i like reliability and maintainability in engineering design.,MCG 4329;MCG 5328
i am interested in courses like numerical methods and engineering computation in chemical engineering. i am less interested in software-heavy courses.,CHG 1371
i like tissue engineering and regenerative medicine principles.,CHG 8303;MCG 4130
i enjoy studying areas such as electrochemical engineering.,CHG 8300
i enjoy studying areas such as mechanical engineering capstone project (6 units). i am not interested in business courses.,MCG 4322
"i enjoy studying areas such as robot mechanics, software engineering project management.",MCG 4132;ELG 5100
i enjoy computer architecture i.,CEG 2136;ELG 5104
i am interested in courses like oil and gas processing.,CHG 4364
"i am interested in courses like software construction, earthquake engineering.",SEG 2106;CVG 5155
i enjoy mobile computing systems.,ELG 6136
i enjoy rf system design.,ELG 6317;SEG 4105
i enjoy studying areas such as research methodology and communication.,CHG 8333
